Crash ID,State,Date,Day,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20181320,NSW & ACT,2-1-2018 3:00,Tuesday,Multiple,No,Yes,No,100,Driver,Female,36,Inner Regional Australia,Muswellbrook,Arterial Road,No,No,26_to_39,Weekday,Night
20181200,NSW & ACT,2-1-2018 4:00,Sunday,Single,No,No,No,100,Driver,Male,19,Outer Regional Australia,Forbes,Arterial Road,No,No,17_to_25,Weekend,Night
20181019,NSW & ACT,2-1-2018 5:00,Friday,Multiple,No,No,No,80,Driver,Female,32,Inner Regional Australia,Shoalhaven,National or State Highway,No,No,26_to_39,Weekday,Night
20181019,NSW & ACT,2-1-2018 5:00,Friday,Multiple,No,No,No,80,Driver,Male,52,Inner Regional Australia,Shoalhaven,National or State Highway,No,No,40_to_64,Weekday,Night
20182066,Vic,2-1-2018 5:00,Friday,Multiple,No,No,Yes,80,Driver,Male,65,Inner Regional Australia,Yarra Ranges,National or State Highway,No,No,65_to_74,Weekday,Night
20183187,Qld,2-1-2018 6:00,Thursday,Multiple,No,No,No,80,Driver,Male,28,Major Cities of Australia,Brisbane,Sub-Arterial Road,No,No,26_to_39,Weekday,Day
20185084,WA,2-1-2018 6:00,Tuesday,Single,No,No,No,70,Driver,Male,22,Major Cities of Australia,Wanneroo,Arterial Road,No,No,17_to_25,Weekday,Day
20183118,Qld,2-1-2018 7:00,Saturday,Single,No,No,No,80,Passenger,Female,37,Very Remote Australia,Cook,Local Road,No,No,26_to_39,Weekend,Day
20183118,Qld,2-1-2018 7:00,Saturday,Single,No,No,No,80,Passenger,Male,45,Very Remote Australia,Cook,Local Road,No,No,40_to_64,Weekend,Day
20186018,Tas,2-1-2018 7:00,Thursday,Multiple,No,Yes,No,80,Pedal cyclist,Male,49,Outer Regional Australia,Waratah-Wynyard,National or State Highway,No,No,40_to_64,Weekday,Day
20181090,NSW & ACT,2-1-2018 7:00,Monday,Single,No,No,No,50,Pedestrian,Female,17,Inner Regional Australia,Port Stephens,Local Road,No,No,17_to_25,Weekday,Day
20181001,NSW & ACT,2-1-2018 7:00,Saturday,Multiple,No,No,No,100,Driver,Male,17,Major Cities of Australia,Wollondilly,Arterial Road,No,No,17_to_25,Weekend,Day
20181001,NSW & ACT,2-1-2018 7:00,Saturday,Multiple,No,No,No,100,Driver,Female,29,Major Cities of Australia,Wollondilly,Arterial Road,No,No,26_to_39,Weekend,Day
20184035,SA,2-1-2018 8:00,Wednesday,Single,No,No,No,110,Passenger,Male,1,Very Remote Australia,Unincorporated SA,National or State Highway,No,No,0_to_16,Weekday,Day
20182168,Vic,2-1-2018 8:00,Wednesday,Single,No,No,No,100,Passenger,Female,15,Inner Regional Australia,Cardinia,Local Road,No,No,0_to_16,Weekday,Day
