Crash ID,State,Month,Year,Day,Time,Crash Type,Number Fatalities,"Bus 
Involvement",Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Time
20221141,NSW & ACT,11,2022,Tuesday,15:00,Single,1,No,No,Yes,100,Outer Regional Australia,Carrathool,Sub-Arterial Road,No,No,Weekday,Day,15:00
20221195,NSW & ACT,11,2022,Saturday,22:00,Multiple,1,No,No,No,60,Major Cities of Australia,Canterbury-Bankstown,Arterial Road,No,No,Weekend,Night,22:00
20221230,NSW & ACT,11,2022,Wednesday,14:00,Single,1,No,No,No,100,Outer Regional Australia,Bland,Sub-Arterial Road,No,No,Weekday,Day,14:00
20221232,NSW & ACT,11,2022,Thursday,10:00,Multiple,1,No,No,No,60,Major Cities of Australia,Georges River,Arterial Road,No,No,Weekday,Day,10:00
20222237,Vic,11,2022,Wednesday,21:00,Single,1,No,No,No,60,Inner Regional Australia,Latrobe (Vic.),Local Road,No,No,Weekday,Night,21:00
20223185,Qld,11,2022,Sunday,13:00,Single,1,No,No,No,100,Inner Regional Australia,Bundaberg,Local Road,No,No,Weekend,Day,13:00
20223242,Qld,11,2022,Monday,17:00,Single,1,No,No,No,100,Inner Regional Australia,Moreton Bay,Sub-Arterial Road,No,No,Weekday,Day,17:00
20223031,Qld,11,2022,Sunday,8:00,Single,1,No,No,No,40,Major Cities of Australia,Moreton Bay,Access Road,No,No,Weekend,Day,8:00
20224004,SA,11,2022,Friday,17:00,Multiple,1,No,No,No,60,Major Cities of Australia,Onkaparinga,Sub-Arterial Road,No,No,Weekday,Day,17:00
20225015,WA,11,2022,Friday,20:00,Single,1,No,No,No,110,Unknown,Unknown,Unknown,No,No,Weekend,Night,20:00
20225025,WA,11,2022,Sunday,10:00,Single,1,No,No,No,100,Unknown,Unknown,Unknown,No,No,Weekend,Day,10:00
