National LGA Name 2021,Year,Fatalities,Population,Fatality Rate
Cue,2016,2,230,869.5652174
Cue,2020,1,230,434.7826087
Cumberland,2015,5,237420,2.105972538
Cumberland,2016,10,237420,4.211945076
Cumberland,2017,1,237420,0.4211945076
Cumberland,2018,6,237420,2.527167046
Cumberland,2019,2,237420,0.8423890152
Cumberland,2020,5,237420,2.105972538
Cumberland,2021,6,237420,2.527167046
Cumberland,2022,7,237420,2.948361553
Cunderdin,2018,1,1344,74.4047619
Cunderdin,2019,1,1344,74.4047619
Dalwallinu,2016,2,1428,140.0560224
Dalwallinu,2020,1,1428,70.0280112
Dandaragan,2017,2,3573,55.97537084
Dandaragan,2018,4,3573,111.9507417
Dandaragan,2019,2,3573,55.97537084
Dandaragan,2020,1,3573,27.98768542
Dandaragan,2021,3,3573,83.96305626
Dardanup,2015,1,15370,6.506180872
Dardanup,2016,4,15370,26.02472349
Dardanup,2017,2,15370,13.01236174
Dardanup,2018,2,15370,13.01236174
Dardanup,2019,3,15370,19.51854262
Dardanup,2020,3,15370,19.51854262
Dardanup,2021,1,15370,6.506180872
